190, 495, 513, 818, 413, 418, 56, 78
187, 495, 539, 834, 404, 366, 52, 77
187, 472, 545, 851, 417, 368, 61, 91
189, 8190, 578, 832, 423, 387, 91, 130
181, 189, 566, 819, 434, 445, 145, 185
181, 154, 541, 768, 458, 483, 215, 253
183, 304, 513, 714, 496, 475, 299, 330
179, 374, 472, 628, 516, 461, 399, 403
194, 201, 421, 545, 516, 489, 497, 461
164, 218, 351, 449, 464, 540, 589, 500
239, 310, 278, 353, 434, 560, 666, 520
287, 324, 216, 263, 438, 547, 721, 536
245, 8190, 167, 195, 447, 512, 759, 530
206, 295, 132, 141, 443, 487, 795, 529
191, 283, 111, 106, 425, 469, 806, 508
195, 271, 96, 81, 390, 458, 822, 486
202, 276, 91, 64, 349, 459, 841, 481
203, 317, 95, 58, 346, 462, 8190, 486
199, 367, 117, 63, 353, 459, 811, 515
200, 8190, 166, 83, 371, 465, 746, 527
207, 205, 237, 134, 411, 489, 691, 518
212, 182, 319, 212, 408, 536, 604, 490
173, 343, 394, 308, 400, 560, 509, 450
183, 8190, 453, 406, 428, 540, 411, 390
197, 137, 499, 505, 489, 490, 328, 327
178, 182, 520, 590, 503, 468, 256, 260
170, 439, 542, 658, 501, 468, 198, 198
196, 525, 540, 721, 488, 472, 141, 144
200, 563, 539, 767, 446, 472, 86, 104
195, 601, 516, 798, 411, 422, 58, 82
193, 733, 514, 830, 406, 373, 56, 81
198, 729, 506, 835, 412, 372, 56, 80
196, 742, 514, 832, 417, 375, 56, 78
197, 751, 518, 840, 416, 376, 56, 78
199, 746, 516, 838, 415, 375, 56, 81
