375, 442, 542, 621, 403, 475, 292, 159
400, 480, 548, 619, 393, 447, 209, 166
421, 513, 551, 617, 381, 419, 184, 269
437, 543, 550, 612, 363, 389, 194, 323
441, 562, 548, 604, 345, 367, 244, 283
445, 588, 541, 597, 326, 342, 8190, 235
441, 612, 539, 592, 305, 309, 8191, 210
444, 639, 528, 594, 275, 273, 8191, 223
434, 645, 515, 592, 241, 231, 8191, 261
425, 662, 512, 594, 209, 192, 771, 8190
390, 668, 502, 593, 175, 163, 735, 8190
363, 661, 500, 603, 144, 143, 745, 252
346, 674, 497, 600, 127, 128, 697, 229
321, 676, 501, 600, 121, 117, 8190, 8190
318, 683, 499, 598, 117, 116, 8191, 223
312, 687, 505, 596, 114, 107, 8190, 8190
303, 691, 503, 600, 113, 108, 8190, 209
313, 690, 504, 601, 114, 109, 8190, 216
316, 715, 503, 601, 116, 109, 680, 8190
313, 710, 501, 602, 118, 113, 8191, 228
311, 712, 503, 609, 131, 129, 8190, 239
331, 706, 504, 611, 161, 158, 8191, 247
365, 683, 508, 600, 206, 200, 8191, 277
400, 660, 519, 606, 245, 239, 8191, 234
421, 630, 528, 603, 278, 282, 8190, 206
435, 592, 538, 605, 313, 324, 233, 220
439, 568, 545, 603, 346, 361, 184, 276
443, 534, 550, 612, 375, 389, 178, 333
442, 510, 557, 612, 394, 414, 198, 347
431, 479, 552, 617, 412, 432, 256, 243
425, 447, 551, 616, 428, 457, 337, 180
416, 415, 538, 618, 438, 482, 401, 172
394, 379, 524, 616, 441, 497, 272, 182
371, 345, 508, 616, 434, 504, 162, 218
344, 307, 494, 613, 433, 518, 147, 269
313, 265, 496, 608, 419, 527, 163, 298
277, 222, 495, 607, 404, 535, 228, 324
234, 186, 505, 605, 384, 519, 290, 301
197, 157, 510, 600, 365, 497, 321, 274
173, 132, 511, 597, 344, 485, 381, 245
147, 105, 515, 592, 316, 468, 401, 246
123, 83, 516, 598, 301, 431, 412, 8190
105, 78, 514, 602, 295, 421, 430, 250
98, 78, 515, 600, 291, 419, 428, 262
96, 77, 515, 600, 299, 430, 427, 257
97, 78, 512, 598, 306, 424, 428, 8190
97, 81, 516, 599, 303, 424, 426, 252
99, 80, 516, 602, 303, 414, 419, 257
98, 78, 515, 601, 295, 8190, 415, 256
97, 80, 513, 600, 302, 424, 403, 262
98, 80, 512, 598, 299, 427, 408, 258
97, 79, 514, 599, 300, 414, 406, 259
98, 80, 519, 601, 300, 424, 396, 258
98, 80, 520, 598, 300, 438, 400, 261
98, 80, 519, 603, 304, 423, 402, 255
96, 80, 517, 609, 311, 420, 404, 256
98, 79, 515, 601, 301, 426, 418, 258
97, 80, 509, 598, 306, 420, 409, 261
98, 80, 510, 603, 299, 427, 411, 258
97, 79, 511, 597, 311, 8190, 409, 256
97, 79, 508, 598, 304, 421, 423, 257
99, 80, 505, 601, 303, 422, 426, 263
98, 80, 503, 601, 304, 418, 432, 266
98, 80, 502, 593, 312, 420, 440, 275
98, 78, 501, 599, 300, 412, 446, 283
98, 79, 500, 597, 303, 427, 438, 267
97, 79, 503, 599, 307, 426, 428, 271
98, 79, 503, 598, 297, 422, 439, 271
98, 79, 501, 597, 298, 433, 53630, 265
97, 80, 502, 598, 303, 411, 448, 263
